3.5005555647e-01	5.6477669371e-03	0.0000000000e+00
3.5057495445e-01	5.9473109442e-03	0.0000000000e+00
3.5109311043e-01	6.2490874787e-03	0.0000000000e+00
3.5161189381e-01	6.5498601387e-03	0.0000000000e+00
3.5213180403e-01	6.8487496729e-03	0.0000000000e+00
3.5265086246e-01	7.1491714890e-03	0.0000000000e+00
3.5316683149e-01	7.4549091837e-03	0.0000000000e+00
3.5367870186e-01	7.7674984286e-03	0.0000000000e+00
3.5418703489e-01	8.0858370318e-03	0.0000000000e+00
3.5469254562e-01	8.4086580042e-03	0.0000000000e+00
3.5519633313e-01	8.7341718284e-03	0.0000000000e+00
3.5569980590e-01	9.0601717576e-03	0.0000000000e+00
3.5620415685e-01	9.3848011163e-03	0.0000000000e+00
3.5670851686e-01	9.7093973917e-03	0.0000000000e+00
3.5721093348e-01	1.0036962691e-02	0.0000000000e+00
3.5771027267e-01	1.0369164234e-02	0.0000000000e+00
3.5820708390e-01	1.0705091638e-02	0.0000000000e+00
3.5870214760e-01	1.1043537336e-02	0.0000000000e+00
3.5919636751e-01	1.1383153248e-02	0.0000000000e+00
3.5969070458e-01	1.1722528475e-02	0.0000000000e+00
3.6018552356e-01	1.2061121950e-02	0.0000000000e+00
3.6068006926e-01	1.2400026864e-02	0.0000000000e+00
3.6117346059e-01	1.2740513841e-02	0.0000000000e+00
3.6166498050e-01	1.3083592882e-02	0.0000000000e+00
3.6215442458e-01	1.3429515763e-02	0.0000000000e+00
3.6264168242e-01	1.3778392826e-02	0.0000000000e+00
3.6312679701e-01	1.4130118753e-02	0.0000000000e+00
3.6361057580e-01	1.4483547257e-02	0.0000000000e+00
3.6409406972e-01	1.4837223967e-02	0.0000000000e+00
3.6457819954e-01	1.5189879278e-02	0.0000000000e+00
3.6506279800e-01	1.5541731768e-02	0.0000000000e+00
3.6554716841e-01	1.5893731063e-02	0.0000000000e+00
3.6603060989e-01	1.6246829985e-02	0.0000000000e+00
3.6651241622e-01	1.6601974287e-02	0.0000000000e+00
3.6699203694e-01	1.6959875840e-02	0.0000000000e+00
3.6746929127e-01	1.7320731737e-02	0.0000000000e+00
3.6794404741e-01	1.7684666682e-02	0.0000000000e+00
3.6841617072e-01	1.8051803155e-02	0.0000000000e+00
3.6888556241e-01	1.8422212458e-02	0.0000000000e+00
3.6935267026e-01	1.8795279277e-02	0.0000000000e+00
3.6981835825e-01	1.9169891410e-02	0.0000000000e+00
3.7028351022e-01	1.9544935546e-02	0.0000000000e+00
3.7074901236e-01	1.9919303087e-02	0.0000000000e+00
3.7121542473e-01	2.0292285845e-02	0.0000000000e+00
3.7168213967e-01	2.0664631886e-02	0.0000000000e+00
3.7214828888e-01	2.1037420156e-02	0.0000000000e+00
3.7261300172e-01	2.1411724772e-02	0.0000000000e+00
3.7307542021e-01	2.1788581511e-02	0.0000000000e+00
3.7353507426e-01	2.2168522049e-02	0.0000000000e+00
3.7399183499e-01	2.2551648001e-02	0.0000000000e+00
3.7444558256e-01	2.2938044915e-02	0.0000000000e+00
3.7489619479e-01	2.3327796131e-02	0.0000000000e+00
3.7534377929e-01	2.3720719227e-02	0.0000000000e+00
3.7578920350e-01	2.4115783004e-02	0.0000000000e+00
3.7623350176e-01	2.4511799233e-02	0.0000000000e+00
3.7667771485e-01	2.4907589893e-02	0.0000000000e+00
3.7712276737e-01	2.5302107054e-02	0.0000000000e+00
3.7756773675e-01	2.5696381646e-02	0.0000000000e+00
3.7801034736e-01	2.6092959226e-02	0.0000000000e+00
3.7844976926e-01	2.6492721654e-02	0.0000000000e+00
3.7888626573e-01	2.6895327408e-02	0.0000000000e+00
3.7932158615e-01	2.7298849682e-02	0.0000000000e+00
3.7975753346e-01	2.7701330987e-02	0.0000000000e+00
3.8019325618e-01	2.8103685002e-02	0.0000000000e+00
3.8062712670e-01	2.8507658801e-02	0.0000000000e+00
3.8105794175e-01	2.8914509315e-02	0.0000000000e+00
3.8148557520e-01	2.9324319321e-02	0.0000000000e+00
3.8191008021e-01	2.9736981978e-02	0.0000000000e+00
3.8233211956e-01	3.0151775460e-02	0.0000000000e+00
3.8275320934e-01	3.0567135770e-02	0.0000000000e+00
3.8317484445e-01	3.0981537257e-02	0.0000000000e+00
3.8359712016e-01	3.1394873874e-02	0.0000000000e+00
3.8401901530e-01	3.1808180089e-02	0.0000000000e+00
3.8443947872e-01	3.2222518124e-02	0.0000000000e+00
3.8485745740e-01	3.2638933426e-02	0.0000000000e+00
3.8527226804e-01	3.3058072760e-02	0.0000000000e+00
3.8568389840e-01	3.3479900822e-02	0.0000000000e+00
3.8609240663e-01	3.3904314692e-02	0.0000000000e+00
3.8649785209e-01	3.4331213460e-02	0.0000000000e+00
3.8690043370e-01	3.4760368793e-02	0.0000000000e+00
3.8730095679e-01	3.5190996502e-02	0.0000000000e+00
3.8770039778e-01	3.5622173015e-02	0.0000000000e+00
3.8809973521e-01	3.6052983702e-02	0.0000000000e+00
3.8849985012e-01	3.6482603363e-02	0.0000000000e+00
3.8890047119e-01	3.6911275584e-02	0.0000000000e+00
3.8930056041e-01	3.7339962558e-02	0.0000000000e+00
3.8969906722e-01	3.7769634193e-02	0.0000000000e+00
3.9009495146e-01	3.8201232721e-02	0.0000000000e+00
3.9048769428e-01	3.8635198992e-02	0.0000000000e+00
3.9087742088e-01	3.9071380224e-02	0.0000000000e+00
3.9126429786e-01	3.9509591845e-02	0.0000000000e+00
3.9164849435e-01	3.9949652917e-02	0.0000000000e+00
3.9203027991e-01	4.0391301217e-02	0.0000000000e+00
