"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13746, 3.576987534570000e-01, 1.036143304890000e-02, 4.698914720965710e+05, -6.423882802810996e-01, -5.959917613596326e-04, -3.995876517554660e-04
13747, 3.581955622810000e-01, 1.069725219970000e-02, 4.700535504665911e+05, -6.417762166375469e-01, -5.996282243500155e-04, -4.075816970390362e-04
13748, 3.586906046700000e-01, 1.103561812590000e-02, 4.702520391342058e+05, -6.410266551933569e-01, -6.036180309530858e-04, -4.136735733497863e-04
13749, 3.591847809890000e-01, 1.137518694780000e-02, 4.705206835820745e+05, -6.400121614051830e-01, -6.203946201244442e-04, -4.261258708102769e-04
13750, 3.596790530120000e-01, 1.171454633840000e-02, 4.709497168186452e+05, -6.383919844133478e-01, -6.304863828326174e-04, -4.321613883977251e-04
13751, 3.601738152760000e-01, 1.205311186780000e-02, 4.715225674603719e+05, -6.362287034589347e-01, -6.308874139365632e-04, -4.320054152397422e-04
13752, 3.606683250080000e-01, 1.239195858340000e-02, 4.721161505713197e+05, -6.339871295734554e-01, -6.303387504042451e-04, -4.334046719725253e-04
13753, 3.611617014700000e-01, 1.273235694290000e-02, 4.727055108587711e+05, -6.317615025211961e-01, -6.279687053551969e-04, -4.357203101090706e-04
13754, 3.616532171980000e-01, 1.307533265410000e-02, 4.732518196429172e+05, -6.296984527454125e-01, -6.251328652966090e-04, -4.389445880976555e-04
13755, 3.621426600610000e-01, 1.342114885990000e-02, 4.737771335325564e+05, -6.277146869087891e-01, -6.228541144727185e-04, -4.429434986703591e-04
13756, 3.626299197270000e-01, 1.376991590450000e-02, 4.742438196631203e+05, -6.259523196451435e-01, -6.221867194848142e-04, -4.481608721047730e-04
13757, 3.631150274380000e-01, 1.412154473470000e-02, 4.746990384332628e+05, -6.242332570766310e-01, -6.232720629466676e-04, -4.535291759122697e-04
13758, 3.635987742040000e-01, 1.447491104010000e-02, 4.751885221555687e+05, -6.223847982693442e-01, -6.319036438516819e-04, -4.619250991347220e-04
13759, 3.640822103330000e-01, 1.482856084230000e-02, 4.758704216359230e+05, -6.198097114120996e-01, -6.432258880202016e-04, -4.695722609456631e-04
13760, 3.645662686600000e-01, 1.518120810870000e-02, 4.766377112736634e+05, -6.169121619656345e-01, -6.439049738666164e-04, -4.683164185162358e-04
13761, 3.650508114140000e-01, 1.553303092350000e-02, 4.775361219166423e+05, -6.135194545273743e-01, -6.420564677389556e-04, -4.663753304254966e-04
13762, 3.655351433630000e-01, 1.588497683070000e-02, 4.784855106341640e+05, -6.099342363546953e-01, -6.396234991052909e-04, -4.659391485566926e-04
13763, 3.660185639410000e-01, 1.623799843810000e-02, 4.794483437396754e+05, -6.062982475511340e-01, -6.346302974749001e-04, -4.655494978776809e-04
13764, 3.665003671190000e-01, 1.659304172570000e-02, 4.803832798773643e+05, -6.027676072883272e-01, -6.283414563759195e-04, -4.658716504318173e-04
13765, 3.669799932090000e-01, 1.695083162030000e-02, 4.812949187268999e+05, -5.993249455945933e-01, -6.223265741587531e-04, -4.673062750612067e-04
13766, 3.674572566100000e-01, 1.731157196730000e-02, 4.822002208091315e+05, -5.959062137126162e-01, -6.165651730423310e-04, -4.692444354726105e-04
13767, 3.679320256130000e-01, 1.767538747830000e-02, 4.831060795142080e+05, -5.924853798314241e-01, -6.107937153888371e-04, -4.714133234751738e-04
13768, 3.684041657130000e-01, 1.804240065140000e-02, 4.839942490833029e+05, -5.891313462087664e-01, -6.054520745182493e-04, -4.741134040098328e-04
13769, 3.688735735990000e-01, 1.841268864460000e-02, 4.848684079654904e+05, -5.858302217563837e-01, -6.016965796319960e-04, -4.775341617148048e-04
13770, 3.693406778820000e-01, 1.878565990980000e-02, 4.857792295240332e+05, -5.823906464344019e-01, -6.000256220085805e-04, -4.808587692284129e-04
13771, 3.698063398870000e-01, 1.916020480520000e-02, 4.867565248678515e+05, -5.787000432472498e-01, -5.993117665163231e-04, -4.826290735422129e-04
13772, 3.702714429840000e-01, 1.953521018390000e-02, 4.878337358275848e+05, -5.746321243459945e-01, -6.013192352573850e-04, -4.842453097469972e-04
13773, 3.707368731310000e-01, 1.990956776010000e-02, 4.890663448002807e+05, -5.699773691259701e-01, -6.000353669435571e-04, -4.812602419232005e-04
13774, 3.712032140290000e-01, 2.028254006350000e-02, 4.904237410182480e+05, -5.648513743691694e-01, -5.953663007940124e-04, -4.755746240341962e-04
13775, 3.716698800680000e-01, 2.065484746890000e-02, 4.918297694562052e+05, -5.595417276311854e-01, -5.824390617768265e-04, -4.652002163777301e-04
13776, 3.721360032000000e-01, 2.102756860410000e-02, 4.932578111786802e+05, -5.541489511632642e-01, -5.702894737398607e-04, -4.576183129560397e-04
13777, 3.726007132190000e-01, 2.140177743310000e-02, 4.946749094380094e+05, -5.487975009742613e-01, -5.607492978091355e-04, -4.541804204313906e-04
13778, 3.730631497520000e-01, 2.177851347810000e-02, 4.960523378616819e+05, -5.435958577221627e-01, -5.475999628629909e-04, -4.492791784096808e-04
