"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13758, 3.635987742040000e-01, 1.447491104010000e-02, 6.256756227542406e+05, -5.409377283086571e-02, 7.166938995246746e-04, 5.239072504302425e-04
13759, 3.640822103330000e-01, 1.482856084230000e-02, 6.240111212300360e+05, -6.037950279888998e-02, 7.288238543492155e-04, 5.320610869243266e-04
13760, 3.645662686600000e-01, 1.518120810870000e-02, 6.226657737992750e+05, -6.545999719313789e-02, 7.294147275521021e-04, 5.305082375259884e-04
13761, 3.650508114140000e-01, 1.553303092350000e-02, 6.216327335606647e+05, -6.936111226667974e-02, 7.184581209852333e-04, 5.218717673717154e-04
13762, 3.655351433630000e-01, 1.588497683070000e-02, 6.208495109383363e+05, -7.231883014029775e-02, 7.060656655500388e-04, 5.143395067437077e-04
13763, 3.660185639410000e-01, 1.623799843810000e-02, 6.201722265472754e+05, -7.487648883382185e-02, 7.017147774665582e-04, 5.147610563232293e-04
13764, 3.665003671190000e-01, 1.659304172570000e-02, 6.195006954083717e+05, -7.741242126938117e-02, 6.991239225175512e-04, 5.183519443682210e-04
13765, 3.669799932090000e-01, 1.695083162030000e-02, 6.186707170621289e+05, -8.054670482990992e-02, 6.997679836635639e-04, 5.254571850719226e-04
13766, 3.674572566100000e-01, 1.731157196730000e-02, 6.176788258944451e+05, -8.429242686564574e-02, 7.020887115897930e-04, 5.343331662669600e-04
13767, 3.679320256130000e-01, 1.767538747830000e-02, 6.165619141935211e+05, -8.851026941372588e-02, 7.071874236056460e-04, 5.458104189391533e-04
13768, 3.684041657130000e-01, 1.804240065140000e-02, 6.152460349302513e+05, -9.347948187713247e-02, 7.155105555044474e-04, 5.602972710021740e-04
13769, 3.688735735990000e-01, 1.841268864460000e-02, 6.136077737245767e+05, -9.966611938164374e-02, 7.250508627546352e-04, 5.754338111044154e-04
13770, 3.693406778820000e-01, 1.878565990980000e-02, 6.117064620199590e+05, -1.068461260001307e-01, 7.325980150193125e-04, 5.871018951859481e-04
13771, 3.698063398870000e-01, 1.916020480520000e-02, 6.097490361649392e+05, -1.142380389411314e-01, 7.413437372654740e-04, 5.970082035474476e-04
13772, 3.702714429840000e-01, 1.953521018390000e-02, 6.079237825622093e+05, -1.211308240200792e-01, 7.539936809124853e-04, 6.071947846545474e-04
13773, 3.707368731310000e-01, 1.990956776010000e-02, 6.064057651259614e+05, -1.268633797145333e-01, 7.542963278402355e-04, 6.049857278701386e-04
13774, 3.712032140290000e-01, 2.028254006350000e-02, 6.053060642254950e+05, -1.310162283634573e-01, 7.491989409410364e-04, 5.984551093833672e-04
13775, 3.716698800680000e-01, 2.065484746890000e-02, 6.046340772890410e+05, -1.335538820472578e-01, 7.317655439476025e-04, 5.844688512883943e-04
13776, 3.721360032000000e-01, 2.102756860410000e-02, 6.041704417274547e+05, -1.353047293137377e-01, 7.180306450703710e-04, 5.761705021364724e-04
13777, 3.726007132190000e-01, 2.140177743310000e-02, 6.037756412134217e+05, -1.367956317769445e-01, 7.118974557865024e-04, 5.766032824943529e-04
13778, 3.730631497520000e-01, 2.177851347810000e-02, 6.032959239846669e+05, -1.386072089471140e-01, 7.089295229263694e-04, 5.816422483768803e-04
13779, 3.735228276000000e-01, 2.215832750540000e-02, 6.025670657602451e+05, -1.413596281651611e-01, 7.097294301909645e-04, 5.907353887945933e-04
13780, 3.739796158360000e-01, 2.254132381880000e-02, 6.016096748169760e+05, -1.449750654932209e-01, 7.127115448972530e-04, 6.021091856471375e-04
13781, 3.744333947230000e-01, 2.292758799070000e-02, 6.004765199872297e+05, -1.492542476797021e-01, 7.188751934292541e-04, 6.167010149911674e-04
13782, 3.748840421350000e-01, 2.331720344530000e-02, 5.990411545382855e+05, -1.546746810564795e-01, 7.283930996394470e-04, 6.344628439830779e-04
13783, 3.753316486470000e-01, 2.371000718100000e-02, 5.972053708605089e+05, -1.616072313187714e-01, 7.384391600339030e-04, 6.514123652537804e-04
13784, 3.757770673240000e-01, 2.410498351180000e-02, 5.951619536685428e+05, -1.693238771096817e-01, 7.443127411739849e-04, 6.617012852729375e-04
13785, 3.762213318460000e-01, 2.450094422090000e-02, 5.932137486346660e+05, -1.766809690601663e-01, 7.562504544099299e-04, 6.739468557448797e-04
13786, 3.766654825780000e-01, 2.489671152140000e-02, 5.916295621587560e+05, -1.826634017955912e-01, 7.641208638493303e-04, 6.791675323333948e-04
13787, 3.771104594000000e-01, 2.529122046560000e-02, 5.904345529232149e+05, -1.871761674823008e-01, 7.539478049342800e-04, 6.681939860305035e-04
13788, 3.775554119230000e-01, 2.568542054400000e-02, 5.898336824577659e+05, -1.894452609235807e-01, 7.340291386676948e-04, 6.538503215036701e-04
13789, 3.779980579460000e-01, 2.608186563770000e-02, 5.892177939919773e+05, -1.917710674969436e-01, 7.342859402869763e-04, 6.626708652907243e-04
13790, 3.784375176750000e-01, 2.648149432110000e-02, 5.880484751314018e+05, -1.961868174960960e-01, 7.413087250355899e-04, 6.788154622596209e-04
13791, 3.788740296220000e-01, 2.688399179390000e-02, 5.863061044550202e+05, -2.027666081521437e-01, 7.444071565582763e-04, 6.882209181630493e-04
13792, 3.793093002600000e-01, 2.728747664650000e-02, 5.846850911812503e+05, -2.088881115363893e-01, 7.604527205132673e-04, 7.035359301315993e-04
13793, 3.797451798530000e-01, 2.768993997650000e-02, 5.834243191912927e+05, -2.136492199913116e-01, 7.533342325137799e-04, 6.955705615051855e-04
13794, 3.801808806140000e-01, 2.809222653050000e-02, 5.828008198844165e+05, -2.160037677170320e-01, 7.372865046178178e-04, 6.834886790375688e-04
13795, 3.806147754170000e-01, 2.849608347650000e-02, 5.822772465880098e+05, -2.179809604752387e-01, 7.328360476411819e-04, 6.869233390617467e-04
13796, 3.810456316430000e-01, 2.890280028190000e-02, 5.814651115769605e+05, -2.210478614679987e-01, 7.344301382674981e-04, 6.983854200827407e-04
13797, 3.814733057750000e-01, 2.931247846560000e-02, 5.801553672644529e+05, -2.259939062482898e-01, 7.420493276255951e-04, 7.159252022514242e-04
13798, 3.818978480530000e-01, 2.972501409300000e-02, 5.784244890560949e+05, -2.325302973942665e-01, 7.508199706420995e-04, 7.336647384815655e-04
13799, 3.823198886960000e-01, 3.013971809910000e-02, 5.763033881712990e+05, -2.405403035149490e-01, 7.571998400673710e-04, 7.454663951666975e-04
13800, 3.827409339310000e-01, 3.055503565010000e-02, 5.743410823813790e+05, -2.479506447677285e-01, 7.735974654515603e-04, 7.617619126059957e-04
